(50000L, 784L)
185 0.0 142.928207397
186 0.0 142.731170654
187 0.0 143.000366211
188 0.0 143.212142944
189 0.0 142.657196045
190 0.0 142.831802368
191 0.0 142.862426758
192 0.0 142.691864014
193 0.0 142.642364502
194 0.0 142.58291626
195 0.0 142.800109863
196 0.0 142.866363525
197 0.0 142.560882568
198 0.0 142.843002319
199 0.0 142.730026245
200 0.0 142.769973755
201 0.0 142.644943237
202 0.0 142.627365112
203 0.0 142.70690918
204 0.0 142.731765747
205 0.0 142.802566528
206 0.0 142.75769043
207 0.0 142.721878052
208 0.0 142.706222534
209 0.0 142.4609375
210 0.0 142.756546021
211 0.0 142.637374878
212 0.0 142.591308594
213 0.0 142.494567871
214 0.0 142.648040771
215 0.0 142.576828003
216 0.0 142.650726318
217 0.0 142.689376831
218 0.0 142.827713013
219 0.0 142.63319397
220 0.0 142.682678223
221 0.0 142.745223999
222 0.0 142.824539185
223 0.0 142.884643555
224 0.0 142.710067749
225 0.0 142.728775024
226 0.0 142.606689453
227 0.0 142.903045654
228 0.0 142.627319336
229 0.0 142.55090332
230 0.0 142.74848938
231 0.0 142.630447388
232 0.0 142.634262085
233 0.0 142.589767456
234 0.0 142.828369141
235 0.0 142.881225586
236 0.0 142.793045044
237 0.0 142.625549316
238 0.0 142.380889893
239 0.0 142.777877808
240 0.0 142.546783447
241 0.0 142.811096191
242 0.0 142.680084229
243 0.0 142.544052124
244 0.0 142.628097534
245 0.0 142.431594849
246 0.0 142.580352783
247 0.0 142.826416016
248 0.0 142.723815918
249 0.0 142.696517944
creating pickled numpy output
wrote pickled numpy output
Final validation loss
garray(142.54978942871094)
Final test loss
garray(143.88369750976562)
Theano: Initializing cuBLAS
