(50000L, 784L)
115 0.0 142.702987671
116 0.0 142.719970703
117 0.0 142.631652832
118 0.0 142.791915894
119 0.0 142.633239746
120 0.0 142.682220459
121 0.0 142.56803894
122 0.0 142.538879395
123 0.0 142.554824829
124 0.0 142.548553467
125 0.0 142.892562866
126 0.0 142.793869019
127 0.0 142.699127197
128 0.0 142.512283325
129 0.0 142.668426514
130 0.0 142.510391235
131 0.0 142.541702271
132 0.0 142.554244995
133 0.0 142.660369873
134 0.0 142.402832031
135 0.0 142.503692627
136 0.0 142.671173096
137 0.0 142.734054565
138 0.0 142.597824097
139 0.0 142.513214111
140 0.0 142.554016113
141 0.0 142.463867188
142 0.0 142.625549316
143 0.0 142.447021484
144 0.0 142.347732544
145 0.0 142.782730103
146 0.0 142.444122314
147 0.0 142.310516357
148 0.0 142.647445679
149 0.0 142.671203613
150 0.0 142.506591797
151 0.0 142.49937439
152 0.0 142.333496094
153 0.0 142.481842041
154 0.0 142.471694946
155 0.0 142.576889038
156 0.0 142.445709229
157 0.0 142.791900635
158 0.0 142.442672729
159 0.0 142.439147949
160 0.0 142.669723511
161 0.0 142.497711182
162 0.0 142.611312866
163 0.0 142.505767822
164 0.0 142.51109314
165 0.0 142.479919434
166 0.0 142.268188477
167 0.0 142.384994507
168 0.0 142.714569092
169 0.0 142.265533447
170 0.0 142.462203979
171 0.0 142.423599243
172 0.0 142.393295288
173 0.0 142.311065674
174 0.0 142.613723755
175 0.0 142.343551636
176 0.0 142.457931519
177 0.0 142.221191406
178 0.0 142.519393921
179 0.0 142.422470093
180 0.0 142.504760742
181 0.0 142.241088867
182 0.0 142.542434692
183 0.0 142.140136719
184 0.0 142.271606445
185 0.0 142.282577515
186 0.0 142.418746948
187 0.0 142.472503662
188 0.0 142.367477417
189 0.0 142.176467896
190 0.0 142.372039795
191 0.0 142.048080444
192 0.0 142.372253418
193 0.0 142.271606445
194 0.0 142.349319458
195 0.0 142.246917725
196 0.0 142.058349609
197 0.0 142.2472229
198 0.0 142.10798645
199 0.0 142.326461792
200 0.0 142.268218994
201 0.0 142.280410767
202 0.0 141.962249756
203 0.0 142.355102539
204 0.0 142.162796021
205 0.0 142.08744812
206 0.0 142.342590332
207 0.0 142.267242432
208 0.0 142.338928223
209 0.0 142.095458984
210 0.0 142.422851562
211 0.0 142.193466187
212 0.0 142.093765259
213 0.0 142.247146606
214 0.0 142.276290894
215 0.0 142.071929932
216 0.0 142.031661987
217 0.0 142.078720093
218 0.0 142.338790894
219 0.0 142.020401001
220 0.0 142.016403198
221 0.0 142.124740601
222 0.0 141.873764038
223 0.0 142.196044922
224 0.0 141.983764648
225 0.0 142.072097778
226 0.0 142.023620605
227 0.0 142.225204468
228 0.0 142.072052002
229 0.0 142.122253418
230 0.0 142.185775757
231 0.0 142.019226074
232 0.0 142.23878479
233 0.0 142.099716187
234 0.0 142.157669067
235 0.0 141.977142334
236 0.0 141.972045898
237 0.0 142.243927002
238 0.0 141.922119141
239 0.0 142.600357056
240 0.0 142.096389771
241 0.0 142.207626343
242 0.0 142.079467773
243 0.0 142.076293945
244 0.0 142.051513672
245 0.0 141.995544434
246 0.0 141.9296875
247 0.0 142.381225586
248 0.0 141.983566284
249 0.0 142.202468872
creating pickled numpy output
wrote pickled numpy output
Final validation loss
garray(142.07354736328125)
Final test loss
garray(143.38650512695312)
Theano: Initializing cuBLAS
